Question Type,Question,Option count,Options1,Options2,Options3,Options4,Answer,Category,Difficulty,Score,Tags,Answer Explanation,,,,,
objective,The sum of the ages of 3 cousins born at intervals of 4 years is 33. What is the age of the youngest cousin?,4,7,5,10,6,1,Aptitude,medium,5,"Aptitude,Numbers","Let's assume that the age of the youngest cousin is x. Then, the age of the second and third cousin will be x+4 and x+8, respectively. The sum of their ages is given as 33: x + (x+4) + (x+8) = 33. Simplifying the above equation, we get: 3x + 12 = 33. Subtracting 12 from both sides, we get: 3x = 21. Dividing by 3, we get: x = 7. Therefore, the age of the youngest cousin is 7 years old.",,,,,
objective,"Sarah is 4 years younger than Tom. If their ages are in the respective ratio of 2:3, how old is Sarah?",4,8.5,7.5,8,6.5,3,Aptitude,medium,5,"Aptitude,Numbers","Let's assume that the age of Sarah is x. Then, the age of Tom will be x+4. Their ages are in the ratio of 2:3: x/(x+4) = 2/3. Cross-multiplying the above equation, we get: 3x = 2(x+4). Expanding and simplifying the above equation, we get: x = 8. Therefore, the age of Sarah is 8 years old.",,,,,
objective,"The present ages of three persons are in the ratio 3 : 4 : 5. Ten years ago, their ages were in the ratio 2 : 3 : 4. Find their present ages.",4,"30, 40, 45","30, 50, 60","30, 40, 50","30, 40, 60",3,Aptitude,medium,5,"Aptitude,Numbers","Let the present ages of the three persons be 3x, 4x, and 5x respectively. Ten years ago, their ages were (3x-10), (4x-10), and (5x-10) respectively. According to the problem, the ratio was 2 : 3 : 4. Using the first two terms: (3x-10)/(4x-10) = 2/3 3(3x-10) = 2(4x-10) 9x - 30 = 8x - 20 x = 10 Therefore, the present ages are 3(10) = 30 years, 4(10) = 40 years, and 5(10) = 50 years.",,,,,
objective,"Ten years ago, A was twice as old as B. Five years from now, the sum of their ages will be 40. What are their present ages?",4,"25, 12.5","20, 10","30, 15","15, 7.5",2,Aptitude,medium,5,"Aptitude,Numbers","Let the present age of A be x and B be y. From the first statement: (x-10) = 2(y-10) x - 10 = 2y - 20 x = 2y - 10 ... (1) From the second statement: (x+5) + (y+5) = 40 x + y + 10 = 40 x + y = 30 ... (2) Substituting (1) into (2): 2y - 10 + y = 30 3y = 40 y = 10 Substituting y = 10 in equation (1): x = 2(10) - 10 = 10 Therefore, A is 20 years old and B is 10 years old.",,,,,
objective,The ratio of the present ages of two brothers is 1:2 and 5 years back the ratio was 1:3. What will be the present ages of the younger brother ?,4,10,15,20,18,1,Aptitude,medium,5,"Aptitude,Numbers",Let the present ages of the two brothers be x and 2x years 5 years back x−5/2x−5= 1/3 ​3x−15=2x−5⇒x=10 ∴ The present ages are 10 years and 20 years The present age of younger brother =10,,,,,
objective,A mother is eight times older than her daughter. She is also 49 years older than her. Find daughter's age two years hence.,4,8 years.,9 years,7 years,6 years,2,Aptitude,medium,5,"Aptitude,Numbers","Let the daughter's present age be x. According to the problem, the mother is 8 times older than her daughter, which means: 8x = mother's age …….1 Also, the mother is 49years older than her daughter, which means: mother's age = x + 49 ……..2 Substituting the first equation into the second equation: 8x = x + 49 7x = 49 x = 7 Therefore, the daughter's present age is 7 years, and her age two years hence would be: 7+2 = 9 So her age two years hence will be 9 years.",,,,,
objective,"A is five years older than B who is three times as old as C. If the total ages of A, B and C are 40,then how old is B?",4,25,20,15,18,3,Aptitude,medium,5,"Aptitude,Numbers","Let the age of C be x. Then, the age of B will be 3x and the age of A will be 3x+5. The sum of their ages is given as 41, so we have: x + 3x + 3x + 5 = 40 7x + 5 = 40 7x = 35 x = 5 Therefore, the age of B is 3x = 3*5 = 15",,,,,
objective,Mary's father was 35 years old when she was born while her mother was 33 years old when her brother two years younger to her was born. What is the difference between the ages of her parents?,4,8,4,6,12,2,Aptitude,medium,5,"Aptitude,Numbers","Let Mary's current age be x. Then, her father's current age will be (x+35) and her brother's current age will be (x-2). Also, her mother's current age will be (x-2+33) = (x+31). The difference between the ages of her parents will be: = Father's age - Mother's age = (x+35) - (x+31) = 4 Therefore, the difference between the ages of her parents is 4 years.",,,,,
objective,"X is as much younger than Y as he is older than Z. If the sum of the ages of Y and Z is 70 years, what is definitely the difference between Y and X's age?",4,1 year,2 years,25 years,Data inadequate,4,Aptitude,medium,5,"Aptitude,Numbers","Given that: i. The difference of age between Y and X = The difference of age between X and Z. ii. Sum of age of Y and Z is 50 i.e. (Y+Z) = 70. Y -X = X -Z (Y+Z) = 2X Now given that, (Y+Z) = 70 So, 70 = 2X and therefore X = 35. Here we know the value(age) of X (35), but we don't know the age of Y. Therefore, (Y-X) cannot be determined.so Data inadequate",,,,,
objective,"Father is five times the age of his daughter. After 2 years, he would be three times his daughter's age. Further after 6 years, how many times would he be of his daughter's age?",4,1.8,2.75,5,4.67,1,Aptitude,medium,5,"Aptitude,Numbers","Let the daughter's present age be x years. Then the father's present age is 5x years. After 2 years: Daughter's age = x + 2 Father's age = 5x + 2 Given that at that time, the father is three times the daughter's age: 5x + 2 = 3(x + 2) 5x + 2 = 3x + 6 2x = 4 x = 2 Therefore, the present age of the daughter is 2 years and the present age of the father is 10 years. Further after 6 more years (i.e., after a total of 8 years from now): Daughter's age = 2 + 8 = 10 years Father's age = 10 + 8 = 18 years Required ratio = 18/10 = 1.8 Therefore, the father will be 1.8 times the daughter's age.",,,,,
